Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
2,Shardul Thakur,9,0,55,1,6.11,26,5,0,2,2
3,Kuldeep Yadav,10,0,38,2,3.80,33,1,0,2,0
4,Deepak Hooda,1,0,9,0,9.00,3,2,0,0,0
5,Axar Patel,10,1,30,2,3.00,39,2,0,1,0
0,Mohammed Siraj,8,0,49,0,6.12,26,5,1,3,0
1,Avesh Khan,8,0,51,0,6.37,28,4,2,2,0
2,Shardul Thakur,8,1,35,2,4.37,26,3,0,2,0
3,Ravi Bishnoi,8,0,69,1,8.62,21,7,1,4,1
4,Kuldeep Yadav,8,0,39,1,4.87,24,2,1,0,0
0,Mohammed Siraj,10,1,38,3,3.80,39,5,0,2,0
1,Washington Sundar,9,0,60,1,6.66,20,6,1,0,0
2,Shahbaz Ahmed,10,0,54,1,5.40,25,4,1,0,0
3,Avesh Khan,7,0,35,0,5.00,24,5,0,1,0
4,Kuldeep Yadav,9,0,49,1,5.44,24,2,2,0,0
5,Shardul Thakur,5,0,36,1,7.20,11,5,0,0,0
0,Washington Sundar,4,0,15,2,3.75,17,2,0,2,0
1,Mohammed Siraj,5,0,17,2,3.40,23,3,0,0,0
2,Avesh Khan,5,1,8,0,1.60,24,0,0,2,0
3,Shahbaz Ahmed,7,0,32,2,4.57,23,4,0,0,0
4,Shardul Thakur,2,0,8,0,4.00,7,1,0,0,0
5,Kuldeep Yadav,4.1,1,18,4,4.32,15,1,1,0,0
0,Arshdeep Singh,8.1,0,68,0,8.32,22,6,3,1,1
1,Shardul Thakur,9,1,63,1,7.00,31,10,1,3,0
2,Washington Sundar,10,0,42,0,4.20,31,2,1,1,0
3,Umran Malik,10,0,66,2,6.60,30,6,2,1,1
4,Yuzvendra Chahal,10,0,67,0,6.70,25,7,1,2,0
0,Deepak Chahar,5,0,30,0,6.00,19,6,0,0,0
1,Arshdeep Singh,5,1,21,0,4.20,23,4,0,1,0
2,Umran Malik,5,0,31,1,6.20,18,4,0,2,0
3,Washington Sundar,3,0,16,0,5.33,7,0,1,0,0
0,Deepak Chahar,8,1,32,1,4.00,35,5,0,0,2
1,Mohammed Siraj,10,1,32,3,3.20,46,4,0,2,0
2,Kuldeep Sen,5,0,37,2,7.40,16,1,3,3,0
3,Shahbaz Ahmed,9,0,39,0,4.33,27,3,0,0,0
4,Washington Sundar,5,0,17,2,3.40,17,0,0,0,0
5,Shardul Thakur,9,1,21,1,2.33,39,1,0,1,0
0,Deepak Chahar,3,0,12,0,4.00,12,1,0,0,0
1,Mohammed Siraj,10,0,73,2,7.30,35,10,1,4,1
2,Shardul Thakur,10,1,47,0,4.70,35,2,2,2,0
3,Umran Malik,10,2,58,2,5.80,35,9,0,1,1
4,Washington Sundar,10,0,37,3,3.70,36,2,1,0,0
5,Axar Patel,7,0,40,0,5.71,17,2,1,0,0
0,Mohammed Siraj,5,0,27,1,5.40,16,2,1,0,0
1,Shardul Thakur,5,0,30,3,6.00,22,3,2,2,0
2,Axar Patel,5,0,22,2,4.40,15,2,0,0,0
3,Umran Malik,8,0,43,2,5.37,24,5,0,0,1
4,Kuldeep Yadav,10,1,53,1,5.30,31,2,3,1,0
5,Washington Sundar,1,0,2,1,2.00,4,0,0,0,0
0,Mohammed Shami,9,0,67,1,7.44,29,9,1,2,0
1,Mohammed Siraj,7,1,30,2,4.28,29,3,1,0,0
2,Hardik Pandya,6,0,33,1,5.50,18,4,0,2,0
3,Umran Malik,8,0,57,3,7.12,27,10,0,4,0
4,Yuzvendra Chahal,10,0,58,1,5.80,33,6,2,0,0
5,Axar Patel,10,0,58,0,5.80,32,7,1,0,0
0,Mohammed Shami,7,0,43,0,6.14,23,7,0,1,0
1,Mohammed Siraj,5.4,0,30,3,5.29,24,4,1,2,0
2,Hardik Pandya,5,0,26,0,5.20,14,2,0,2,0
3,Umran Malik,7,0,48,2,6.85,21,6,1,0,1
4,Kuldeep Yadav,10,0,51,3,5.10,33,6,1,0,0
5,Axar Patel,5,0,16,1,3.20,18,1,0,0,0
0,Mohammed Shami,6,2,20,2,3.33,31,3,0,2,0
1,Mohammed Siraj,10,1,32,4,3.20,46,5,0,1,0
2,Kuldeep Yadav,5,1,16,2,3.20,23,3,0,0,0
3,Shreyas Iyer,1,0,2,0,2.00,4,0,0,0,0
0,Mohammed Shami,10,1,69,1,6.90,30,8,3,0,0
1,Mohammed Siraj,10,2,46,4,4.60,39,7,0,4,0
2,Hardik Pandya,7,0,70,1,10.00,14,7,3,3,0
3,Kuldeep Yadav,8,1,43,2,5.37,29,4,2,0,0
4,Shardul Thakur,7.2,0,54,2,7.36,27,6,2,7,0
5,Washington Sundar,7,0,50,0,7.14,18,3,3,0,0
0,Mohammed Shami,6,1,18,3,3.00,30,3,0,3,0
1,Mohammed Siraj,6,1,10,1,1.66,30,1,0,0,0
2,Shardul Thakur,6,1,26,1,4.33,26,5,0,1,0
