,Name,Out/NotOut,Runs,Balls,4s,6s,SR
385,Suryakumar Yadav,1,4,3,1,0,133.33
386,Sanju Samson,1,36,38,4,0,94.73
387,Washington Sundar,0,37,16,3,3,231.25
388,Shardul Thakur,1,1,2,0,0,50.00
389,Shikhar Dhawan,1,3,10,0,0,30.00
390,Shubman Gill,0,45,42,4,1,107.14
391,Suryakumar Yadav,0,34,25,2,3,136.00
392,Shikhar Dhawan,1,28,45,3,1,62.22
393,Shubman Gill,1,13,22,2,0,59.09
394,Shreyas Iyer,1,49,59,8,0,83.05
395,Rishabh Pant,1,10,16,2,0,62.50
396,Suryakumar Yadav,1,6,10,0,0,60.00
397,Deepak Hooda,1,12,25,0,0,48.00
398,Washington Sundar,1,51,64,5,1,79.68
399,Deepak Chahar,1,12,9,0,2,133.33
400,Yuzvendra Chahal,1,8,22,0,0,36.36
401,Arshdeep Singh,1,9,9,0,1,100.00
402,Umran Malik,0,0,4,0,0,0.00
403,Rohit Sharma,1,27,31,4,1,87.09
404,Shikhar Dhawan,1,7,17,1,0,41.17
405,Virat Kohli,1,9,15,1,0,60.00
406,Shreyas Iyer,1,24,39,2,0,61.53
407,KL Rahul,1,73,70,5,4,104.28
408,Washington Sundar,1,19,43,0,0,44.18
409,Shahbaz Ahmed,1,0,4,0,0,0.00
410,Shardul Thakur,1,2,3,0,0,66.66
411,Deepak Chahar,1,0,3,0,0,0.00
412,Mohammed Siraj,1,9,20,1,0,45.00
413,Kuldeep Sen,0,2,4,0,0,50.00
414,Virat Kohli,1,5,6,1,0,83.33
415,Shikhar Dhawan,1,8,10,1,0,80.00
416,Shreyas Iyer,1,82,102,6,3,80.39
417,Washington Sundar,1,11,19,1,0,57.89
418,KL Rahul,1,14,28,0,0,50.00
419,Axar Patel,1,56,56,2,3,100.00
420,Shardul Thakur,1,7,23,0,0,30.43
421,Deepak Chahar,1,11,18,0,1,61.11
422,Rohit Sharma,0,51,28,3,5,182.14
423,Mohammed Siraj,1,2,12,0,0,16.66
425,Shikhar Dhawan,1,3,8,0,0,37.50
426,Ishan Kishan,1,210,131,24,10,160.30
427,Virat Kohli,1,113,91,11,2,124.17
428,Shreyas Iyer,1,3,6,0,0,50.00
429,KL Rahul,1,8,10,1,0,80.00
430,Washington Sundar,1,37,27,4,1,137.03
431,Axar Patel,1,20,17,1,1,117.64
432,Shardul Thakur,1,3,5,0,0,60.00
433,Kuldeep Yadav,0,3,3,0,0,100.00
434,Mohammed Siraj,0,0,2,0,0,0.00
435,Rohit Sharma,1,83,67,9,3,123.88
436,Shubman Gill,1,70,60,11,0,116.66
437,Virat Kohli,1,113,87,12,1,129.88
438,Shreyas Iyer,1,28,24,3,1,116.66
439,KL Rahul,1,39,29,4,1,134.48
440,Hardik Pandya,1,14,12,0,1,116.66
441,Axar Patel,1,9,9,0,0,100.00
442,Mohammed Shami,0,4,4,0,0,100.00
443,Mohammed Siraj,0,7,8,0,0,87.50
444,Rohit Sharma,1,17,21,2,1,80.95
445,Shubman Gill,1,21,12,5,0,175.00
446,Virat Kohli,1,4,9,1,0,44.44
447,Shreyas Iyer,1,28,33,5,0,84.84
448,KL Rahul,0,64,103,6,0,62.13
449,Hardik Pandya,1,36,53,4,0,67.92
450,Axar Patel,1,21,21,1,1,100.00
451,Kuldeep Yadav,0,10,10,2,0,100.00
452,Rohit Sharma,1,42,49,2,3,85.71
453,Shubman Gill,1,116,97,14,2,119.58
454,Virat Kohli,0,166,110,13,8,150.90
455,Shreyas Iyer,1,38,32,2,1,118.75
456,KL Rahul,1,7,6,1,0,116.66
457,Suryakumar Yadav,1,4,4,0,0,100.00
458,Axar Patel,0,2,2,0,0,100.00
459,Rohit Sharma,1,34,38,4,2,89.47
460,Shubman Gill,1,208,149,19,9,139.59
461,Virat Kohli,1,8,10,1,0,80.00
462,Ishan Kishan,1,5,14,0,0,35.71
463,Suryakumar Yadav,1,31,26,4,0,119.23
464,Hardik Pandya,1,28,38,3,0,73.68
465,Washington Sundar,1,12,14,0,0,85.71
466,Shardul Thakur,1,3,3,0,0,100.00
467,Kuldeep Yadav,0,5,6,0,0,83.33
468,Mohammed Shami,0,2,2,0,0,100.00
469,Rohit Sharma,1,51,50,7,2,102.00
470,Shubman Gill,0,40,53,6,0,75.47
471,Virat Kohli,1,11,9,2,0,122.22
472,Ishan Kishan,0,8,9,2,0,88.88
473,Rohit Sharma,1,101,85,9,6,118.82
474,Shubman Gill,1,112,78,13,5,143.58
475,Virat Kohli,1,36,27,3,1,133.33
476,Ishan Kishan,1,17,24,1,1,70.83
