,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
318,Shardul Thakur,6.0,1,26,1,4.33,26,5,0,1,0
319,Hardik Pandya,6.0,3,16,2,2.66,29,2,0,1,0
320,Kuldeep Yadav,7.3,0,29,1,3.86,22,2,0,0,0
321,Washington Sundar,3.0,1,7,2,2.33,13,0,0,0,0
322,Hardik Pandya,6.0,0,37,1,6.16,23,3,2,3,0
323,Washington Sundar,6.0,0,49,0,8.16,15,4,3,1,0
324,Shardul Thakur,6.0,0,45,3,7.5,15,4,2,1,0
325,Umran Malik,7.0,0,52,1,7.42,18,5,2,2,0
326,Kuldeep Yadav,9.0,0,62,3,6.88,21,4,2,2,0
327,Yuzvendra Chahal,7.2,0,43,2,5.86,22,3,2,0,0
328,Mohammed Shami,6.0,2,17,3,2.83,30,1,1,2,0
329,Mohammed Siraj,5.4,1,29,3,5.11,26,7,0,0,0
330,Hardik Pandya,5.0,0,29,1,5.8,19,2,2,1,0
331,Shardul Thakur,2.0,0,12,0,6.0,8,1,1,0,0
332,Ravindra Jadeja,9.0,0,46,2,5.11,27,4,1,0,0
333,Kuldeep Yadav,8.0,1,48,1,6.0,24,5,1,0,0
334,Mohammed Shami,3.0,0,29,0,9.66,11,3,2,3,0
335,Mohammed Siraj,3.0,0,37,0,12.33,6,8,0,1,0
336,Axar Patel,3.0,0,25,0,8.33,7,4,0,0,0
337,Hardik Pandya,1.0,0,18,0,18.0,3,0,3,0,0
338,Kuldeep Yadav,1.0,0,12,0,12.0,2,1,1,0,0
339,Mohammed Shami,6.0,0,37,0,6.16,23,4,2,0,0
340,Mohammed Siraj,7.0,1,37,2,5.28,28,6,1,0,0
341,Axar Patel,8.0,0,57,2,7.12,24,3,4,0,1
342,Hardik Pandya,8.0,0,44,3,5.5,24,4,0,1,0
343,Ravindra Jadeja,10.0,0,34,0,3.4,31,1,0,1,0
344,Kuldeep Yadav,10.0,1,56,3,5.6,30,4,1,1,0
345,Hardik Pandya,3.0,0,17,1,5.66,13,2,1,0,0
346,Mukesh Kumar,5.0,1,22,1,4.4,21,3,0,2,0
347,Shardul Thakur,3.0,1,14,1,4.66,11,2,0,1,0
348,Ravindra Jadeja,6.0,0,37,3,6.16,18,2,1,2,2
349,Umran Malik,3.0,0,17,0,5.66,10,3,0,0,0
350,Kuldeep Yadav,3.0,2,6,4,2.0,15,0,0,0,0
351,Hardik Pandya,6.4,0,38,0,5.7,22,4,1,1,0
352,Mukesh Kumar,3.0,0,17,0,5.66,12,3,0,0,0
353,Umran Malik,3.0,0,27,0,9.0,9,3,1,1,0
354,Shardul Thakur,8.0,0,42,3,5.25,26,2,2,2,0
355,Kuldeep Yadav,8.0,0,30,1,3.75,25,1,0,1,0
356,Ravindra Jadeja,6.0,0,24,0,4.0,17,0,0,0,0
357,Axar Patel,2.0,1,4,0,2.0,8,0,0,0,0
358,Mukesh Kumar,7.0,1,30,3,4.28,33,2,1,4,2
359,Hardik Pandya,4.0,1,13,0,3.25,18,2,0,0,0
360,Shardul Thakur,6.3,0,37,4,5.69,23,5,1,0,0
361,Jaydev Unadkat,5.0,0,16,1,3.2,20,2,0,0,0
362,Kuldeep Yadav,8.0,3,25,2,3.12,39,3,1,0,0
363,Ravindra Jadeja,5.0,1,29,0,5.8,21,3,2,0,0
