Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,south africa vs india,"Jasprit
                                      Bumrah",10,0,48,2,4.8,30,4,0,1,0,"ODI
                                    no. 4344"
1,south africa vs india,"Bhuvneshwar
                                      Kumar",10,0,64,0,6.4,26,3,1,4,0,"ODI
                                    no. 4344"
2,south africa vs india,"Shardul
                                      Thakur",10,1,72,0,7.2,26,5,3,2,3,"ODI
                                    no. 4344"
3,south africa vs india,"Ravichandran
                                      Ashwin",10,0,53,1,5.3,20,2,0,2,0,"ODI
                                    no. 4344"
4,south africa vs india,"Yuzvendra
                                      Chahal",10,0,53,0,5.3,30,6,0,0,0,"ODI
                                    no. 4344"
0,south africa vs india,Jasprit Bumrah,10,0,37,1,3.7,38,3,0,1,0,ODI no. 4346
1,south africa vs india,Bhuvneshwar Kumar,8,0,67,0,8.37,15,6,2,1,0,ODI no. 4346
2,south africa vs india,Ravichandran Ashwin,10,1,68,0,6.8,24,6,2,0,0,ODI no. 4346
3,south africa vs india,Yuzvendra Chahal,10,0,47,1,4.7,26,2,0,1,0,ODI no. 4346
4,south africa vs india,Shardul Thakur,5,0,35,1,7,13,5,0,2,0,ODI no. 4346
5,south africa vs india,Venkatesh Iyer,5,0,28,0,5.6,10,2,0,0,0,ODI no. 4346
6,south africa vs india,Shreyas Iyer,0.1,0,1,0,6,0,0,0,0,0,ODI no. 4346
0,south africa vs india,Deepak Chahar,8,0,53,2,6.62,26,6,0,6,1,ODI no. 4349
1,south africa vs india,Jasprit Bumrah,10,0,52,2,5.2,27,5,0,1,0,ODI no. 4349
2,south africa vs india,Prasidh Krishna,9.5,0,59,3,6,31,7,1,1,1,ODI no. 4349
3,south africa vs india,Jayant Yadav,10,0,53,0,5.3,30,3,1,1,1,ODI no. 4349
4,south africa vs india,Yuzvendra Chahal,9,0,47,1,5.22,28,5,1,0,0,ODI no. 4349
5,south africa vs india,Shreyas Iyer,3,0,21,0,7,7,1,1,0,0,ODI no. 4349
0,india vs west indies,Mohammed Siraj,8,2,26,1,3.25,35,3,0,1,0,ODI no. 4353
1,india vs west indies,Prasidh Krishna,10,0,29,2,2.9,47,4,0,2,0,ODI no. 4353
2,india vs west indies,Washington Sundar,9,1,30,3,3.33,36,3,0,1,0,ODI no. 4353
3,india vs west indies,Shardul Thakur,7,0,38,0,5.42,23,2,1,0,0,ODI no. 4353
4,india vs west indies,Yuzvendra Chahal,9.5,0,49,4,4.98,38,1,4,0,0,ODI no. 4353
0,india vs west indies,Mohammed Siraj,9,1,38,1,4.22,38,3,1,3,0,ODI no. 4355
1,india vs west indies,Shardul Thakur,9,1,41,2,4.55,35,4,2,0,0,ODI no. 4355
2,india vs west indies,Prasidh Krishna,9,3,12,4,1.33,45,1,0,0,0,ODI no. 4355
3,india vs west indies,Yuzvendra Chahal,10,0,45,1,4.5,33,1,2,0,2,ODI no. 4355
4,india vs west indies,Washington Sundar,5,0,28,1,5.6,14,1,1,0,1,ODI no. 4355
5,india vs west indies,Deepak Hooda,4,0,24,1,6,12,1,1,1,0,ODI no. 4355
0,india vs west indies,Deepak Chahar,8,1,41,2,5.12,28,5,0,1,0,ODI no. 4356
1,india vs west indies,Mohammed Siraj,9,1,29,3,3.22,41,4,0,2,0,ODI no. 4356
