,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
145,IND vs ENG,Krunal Pandya,4.0,0,29,0,7.25,7,0,2,1,0,ODI no. 4284
146,SL vs IND,Bhuvneshwar Kumar,9.0,0,63,0,7.0,25,2,2,5,0,ODI no. 4307
147,SL vs IND,Deepak Chahar,7.0,1,37,2,5.28,23,3,1,2,0,ODI no. 4307
148,SL vs IND,Hardik Pandya,5.0,0,34,1,6.8,12,3,1,0,1,ODI no. 4307
149,SL vs IND,Yuzvendra Chahal,10.0,0,52,2,5.2,33,1,3,3,0,ODI no. 4307
150,SL vs IND,Kuldeep Yadav,9.0,1,48,2,5.33,29,5,0,1,0,ODI no. 4307
151,SL vs IND,Krunal Pandya,10.0,1,26,1,2.6,36,0,0,1,0,ODI no. 4307
152,SL vs IND,Bhuvneshwar Kumar,10.0,0,54,3,5.4,33,7,0,1,1,ODI no. 4309
153,SL vs IND,Deepak Chahar,8.0,0,53,2,6.62,26,6,1,3,0,ODI no. 4309
154,SL vs IND,Hardik Pandya,4.0,0,20,0,5.0,15,1,0,3,1,ODI no. 4309
155,SL vs IND,Yuzvendra Chahal,10.0,1,50,3,5.0,26,4,0,0,0,ODI no. 4309
156,SL vs IND,Kuldeep Yadav,10.0,0,55,0,5.5,21,3,0,1,0,ODI no. 4309
157,SL vs IND,Krunal Pandya,8.0,0,37,0,4.62,23,3,0,1,0,ODI no. 4309
158,SL vs IND,Navdeep Saini,5.0,0,27,0,5.4,18,1,1,1,1,ODI no. 4312
159,SL vs IND,Chetan Sakariya,8.0,0,34,2,4.25,32,4,0,1,2,ODI no. 4312
160,SL vs IND,Rahul Chahar,10.0,0,54,3,5.4,31,6,0,0,2,ODI no. 4312
161,SL vs IND,Krishnappa Gowtham,8.0,0,49,1,6.12,25,6,0,2,0,ODI no. 4312
162,SL vs IND,Hardik Pandya,5.0,0,43,1,8.6,12,5,0,3,0,ODI no. 4312
163,SL vs IND,Nitish Rana,3.0,0,10,0,3.33,9,0,0,0,0,ODI no. 4312
164,SA vs IND,Jasprit Bumrah,10.0,0,48,2,4.8,30,4,0,1,0,ODI no. 4344
165,SA vs IND,Bhuvneshwar Kumar,10.0,0,64,0,6.4,26,3,1,4,0,ODI no. 4344
166,SA vs IND,Shardul Thakur,10.0,1,72,0,7.2,26,5,3,2,3,ODI no. 4344
167,SA vs IND,Ravichandran Ashwin,10.0,0,53,1,5.3,20,2,0,2,0,ODI no. 4344
168,SA vs IND,Yuzvendra Chahal,10.0,0,53,0,5.3,30,6,0,0,0,ODI no. 4344
169,SA vs IND,Jasprit Bumrah,10.0,0,37,1,3.7,38,3,0,1,0,ODI no. 4346
170,SA vs IND,Bhuvneshwar Kumar,8.0,0,67,0,8.37,15,6,2,1,0,ODI no. 4346
171,SA vs IND,Ravichandran Ashwin,10.0,1,68,0,6.8,24,6,2,0,0,ODI no. 4346
172,SA vs IND,Yuzvendra Chahal,10.0,0,47,1,4.7,26,2,0,1,0,ODI no. 4346
173,SA vs IND,Shardul Thakur,5.0,0,35,1,7.0,13,5,0,2,0,ODI no. 4346
174,SA vs IND,Venkatesh Iyer,5.0,0,28,0,5.6,10,2,0,0,0,ODI no. 4346
175,SA vs IND,Shreyas Iyer,0.1,0,1,0,6.0,0,0,0,0,0,ODI no. 4346
176,SA vs IND,Deepak Chahar,8.0,0,53,2,6.62,26,6,0,6,1,ODI no. 4349
177,SA vs IND,Jasprit Bumrah,10.0,0,52,2,5.2,27,5,0,1,0,ODI no. 4349
178,SA vs IND,Prasidh Krishna,9.5,0,59,3,6.0,31,7,1,1,1,ODI no. 4349
179,SA vs IND,Jayant Yadav,10.0,0,53,0,5.3,30,3,1,1,1,ODI no. 4349
180,SA vs IND,Yuzvendra Chahal,9.0,0,47,1,5.22,28,5,1,0,0,ODI no. 4349
181,SA vs IND,Shreyas Iyer,3.0,0,21,0,7.0,7,1,1,0,0,ODI no. 4349
182,IND vs WI,Mohammed Siraj,8.0,2,26,1,3.25,35,3,0,1,0,ODI no. 4353
183,IND vs WI,Prasidh Krishna,10.0,0,29,2,2.9,47,4,0,2,0,ODI no. 4353
184,IND vs WI,Washington Sundar,9.0,1,30,3,3.33,36,3,0,1,0,ODI no. 4353
185,IND vs WI,Shardul Thakur,7.0,0,38,0,5.42,23,2,1,0,0,ODI no. 4353
186,IND vs WI,Yuzvendra Chahal,9.5,0,49,4,4.98,38,1,4,0,0,ODI no. 4353
187,IND vs WI,Mohammed Siraj,9.0,1,38,1,4.22,38,3,1,3,0,ODI no. 4355
188,IND vs WI,Shardul Thakur,9.0,1,41,2,4.55,35,4,2,0,0,ODI no. 4355
189,IND vs WI,Prasidh Krishna,9.0,3,12,4,1.33,45,1,0,0,0,ODI no. 4355
190,IND vs WI,Yuzvendra Chahal,10.0,0,45,1,4.5,33,1,2,0,2,ODI no. 4355
191,IND vs WI,Washington Sundar,5.0,0,28,1,5.6,14,1,1,0,1,ODI no. 4355
192,IND vs WI,Deepak Hooda,4.0,0,24,1,6.0,12,1,1,1,0,ODI no. 4355
193,IND vs WI,Deepak Chahar,8.0,1,41,2,5.12,28,5,0,1,0,ODI no. 4356
194,IND vs WI,Mohammed Siraj,9.0,1,29,3,3.22,41,4,0,2,0,ODI no. 4356
195,IND vs WI,Prasidh Krishna,8.1,1,27,3,3.3,37,2,1,1,0,ODI no. 4356
196,IND vs WI,Kuldeep Yadav,8.0,0,51,2,6.37,27,2,4,2,0,ODI no. 4356
