,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
260,SA vs IND,Shikhar Dhawan,1,61,73,5,1,83.56,ODI no. 4349
261,SA vs IND,Virat Kohli,1,65,84,5,0,77.38,ODI no. 4349
262,SA vs IND,Rishabh Pant,1,0,1,0,0,0.00,ODI no. 4349
263,SA vs IND,Shreyas Iyer,1,26,34,2,0,76.47,ODI no. 4349
264,SA vs IND,Suryakumar Yadav,1,39,32,4,1,121.87,ODI no. 4349
265,SA vs IND,Deepak Chahar,1,54,34,5,2,158.82,ODI no. 4349
266,SA vs IND,Jayant Yadav,1,2,6,0,0,33.33,ODI no. 4349
267,SA vs IND,Jasprit Bumrah,1,12,15,2,0,80.00,ODI no. 4349
268,SA vs IND,Yuzvendra Chahal,1,2,6,0,0,33.33,ODI no. 4349
269,SA vs IND,Prasidh Krishna,0,2,3,0,0,66.66,ODI no. 4349
270,IND vs WI,Rohit Sharma,1,60,51,10,1,117.64,ODI no. 4353
271,IND vs WI,Ishan Kishan,1,28,36,2,1,77.77,ODI no. 4353
272,IND vs WI,Virat Kohli,1,8,4,2,0,200.00,ODI no. 4353
273,IND vs WI,Rishabh Pant,1,11,9,2,0,122.22,ODI no. 4353
274,IND vs WI,Suryakumar Yadav,0,34,36,5,0,94.44,ODI no. 4353
275,IND vs WI,Deepak Hooda,0,26,32,2,0,81.25,ODI no. 4353
276,IND vs WI,Rohit Sharma,1,5,8,0,0,62.50,ODI no. 4355
277,IND vs WI,Rishabh Pant,1,18,34,3,0,52.94,ODI no. 4355
278,IND vs WI,Virat Kohli,1,18,30,3,0,60.00,ODI no. 4355
279,IND vs WI,KL Rahul,1,49,48,4,2,102.08,ODI no. 4355
280,IND vs WI,Suryakumar Yadav,1,64,83,5,0,77.10,ODI no. 4355
281,IND vs WI,Washington Sundar,1,24,41,1,0,58.53,ODI no. 4355
282,IND vs WI,Deepak Hooda,1,29,25,2,0,116.00,ODI no. 4355
283,IND vs WI,Shardul Thakur,1,8,15,1,0,53.33,ODI no. 4355
284,IND vs WI,Mohammed Siraj,1,3,5,0,0,60.00,ODI no. 4355
285,IND vs WI,Yuzvendra Chahal,0,11,10,1,0,110.00,ODI no. 4355
286,IND vs WI,Prasidh Krishna,0,0,3,0,0,0.00,ODI no. 4355
287,IND vs WI,Rohit Sharma,1,13,15,3,0,86.66,ODI no. 4356
288,IND vs WI,Shikhar Dhawan,1,10,26,0,1,38.46,ODI no. 4356
289,IND vs WI,Virat Kohli,1,0,2,0,0,0.00,ODI no. 4356
290,IND vs WI,Shreyas Iyer,1,80,111,9,0,72.07,ODI no. 4356
291,IND vs WI,Rishabh Pant,1,56,54,6,1,103.70,ODI no. 4356
292,IND vs WI,Suryakumar Yadav,1,6,7,1,0,85.71,ODI no. 4356
293,IND vs WI,Washington Sundar,1,33,34,2,1,97.05,ODI no. 4356
294,IND vs WI,Deepak Chahar,1,38,38,4,2,100.00,ODI no. 4356
295,IND vs WI,Kuldeep Yadav,1,5,8,0,0,62.50,ODI no. 4356
296,IND vs WI,Mohammed Siraj,1,4,6,1,0,66.66,ODI no. 4356
297,IND vs WI,Prasidh Krishna,0,0,0,0,0,-,ODI no. 4356
298,ENG vs IND,Rohit Sharma,0,76,58,7,5,131.03,ODI no. 4424
299,ENG vs IND,Shikhar Dhawan,0,31,54,4,0,57.40,ODI no. 4424
300,ENG vs IND,Rohit Sharma,1,0,10,0,0,0.00,ODI no. 4428
301,ENG vs IND,Shikhar Dhawan,1,9,26,1,0,34.61,ODI no. 4428
302,ENG vs IND,Virat Kohli,1,16,25,3,0,64.00,ODI no. 4428
